idx,날짜,기준금리(%)1,국내총생산(시장가격 GDP)(십억원)1,국내총소득(GDI)1,국민총소득(GNI)1,소비자물가지수(2015 = 100),경제성장률(%)1,실업률(%)3,국내총투자율(%),총저축률(%),원/미국달러(매매기준율 평균 원)8,KOSPI(평균),KOSDAQ(평균)2,아파트 거래량 매매(전국),총 인구(명)1,가계대출(조원)1,평균전세가율(전국)1,평균아파트매매가격(전국)
113,2011년 5월,3,368841.5,352078.6,354035.9,94.163,0.5,4.5,34.7,34.3,1167.01,2121.87,528.44,80693,50594424,826.9,,255.4
114,2011년 6월,3,368841.5,352078.6,354035.9,94.345,0.5,4.3,34.7,34.3,1123.45,2074.64,494.71,72731,50613213,826.9,,258.4
115,2011년 7월,3.25,368841.5,352078.6,354035.9,94.527,0.5,3.7,31.3,34.8,1126.2,2150.06,469.03,69393,50627347,826.9,,273.2
116,2011년 8월,3.25,370782.8,353512.7,356925.9,94.982,0.5,3.2,31.3,34.8,1147.55,1869.41,511.55,68582,50641565,839.7,,272.4
117,2011년 9월,3.25,370782.8,353512.7,356925.9,95.62,0.5,3.3,31.3,34.8,1120.07,1790.95,488.16,69375,50662739,839.7,,270
118,2011년 10월,3.25,370782.8,353512.7,356925.9,95.529,0.5,3.3,32.9,35.1,1118.14,1825.88,461.47,65410,50681829,839.7,,268.4
119,2011년 11월,3.25,372534,352132.7,355061.9,95.347,0.5,3,32.9,35.1,1122.45,1858.8,471.45,70235,50699478,861.4,,265.6
120,2011년 12월,3.25,372534,352132.7,355061.9,95.438,0.5,3,32.9,35.1,1086.84,1863.23,497.85,71993,50717719,861.4,,267.4
121,2012년 1월,3.25,372534,352132.7,355061.9,95.802,0.5,2.9,33.8,34.7,1083.54,1891.01,501.07,101622,50734284,861.4,,271.2
122,2012년 2월,3.25,375799.3,355987.3,359499.5,96.184,0.9,2.9,33.8,34.7,1081.27,2003.23,516.72,37051,50750837,862.9,62.76373563,263.9
123,2012년 3월,3.25,375799.3,355987.3,359499.5,96.549,0.9,3,33.8,34.7,1059.5,2023.41,532.84,53911,50767313,862.9,62.84313532,262.9
124,2012년 4월,3.25,375799.3,355987.3,359499.5,96.576,0.9,3.5,31.8,35.1,1073.17,1995.92,532.37,62724,50783029,862.9,62.90908868,264.2
