idx,날짜,기준금리(%),국내총생산(시장가격 GDP)(십억원),국내총소득(GDI),국민총소득(GNI),소비자물가지수(2015 = 100),경제성장률(%),실업률(%),국내총투자율(%),총저축률(%),원/미국달러(매매기준율 평균 원),KOSPI(평균),KOSDAQ(평균),아파트 거래량 매매(강원),총 인구(명),가계대출(조원),평균전세가율(강원),평균아파트매매가격(강원)
95,2009년 11월,2,341844.7,332611.9,332007.7,88.798,0.7,3.2,31.6,33.4,1346.1,1460.03,501.83,2576,49736280,734.3,,119.5
96,2009년 12월,2,341844.7,332611.9,332007.7,88.955,0.7,3.3,31.6,33.4,1429.46,1577.91,477.15,1945,49759141,734.3,,121.1
97,2010년 1월,2,341844.7,332611.9,332007.7,89.269,2,3.5,31.6,34.9,1461.98,1659.45,498.35,1661,49773145,734.3,,127.3
98,2010년 2월,2,348541.7,339582.2,340962.7,89.974,2,5,31.5,34.9,1341.9,1630.61,535.44,1933,49810609,740.8,,123.6
99,2010년 3월,2,348541.7,339582.2,340962.7,90.156,2,4.8,31.5,34.9,1258.71,1583.47,505.32,1975,49835331,740.8,,121.4
100,2010년 4월,2,348541.7,339582.2,340962.7,90.338,1.9,4.1,31.5,35.9,1261.35,1646.64,518.7,2135,49862894,740.8,,119.9
101,2010년 5월,2,355163.3,346946.5,348176.8,90.702,1.9,3.7,33.7,35.9,1263.97,1682.16,512.86,1739,49889125,756.9,,121.4
102,2010년 6월,2,355163.3,346946.5,348176.8,90.793,1.9,3.2,33.7,35.9,1238.4,1598.96,497.85,1882,49913379,756.9,,123
103,2010년 7월,2,355163.3,346946.5,348176.8,90.702,1.2,3.5,33.7,35.6,1219.15,1665.5,493.3,1611,49934126,756.9,,118.8
104,2010년 8월,2.25,359266.2,351857.4,353549.2,90.884,1.2,3.7,31.4,35.6,1175.25,1730.29,490.97,1687,49955240,771,,120.8
105,2010년 9월,2.25,359266.2,351857.4,353549.2,91.34,1.2,3.3,31.4,35.6,1164.23,1648.3,475.35,1952,49976963,771,,123.3
106,2010년 10월,2.25,359266.2,351857.4,353549.2,92.068,1.2,3.4,31.4,34.5,1166.45,1691.94,482.36,2896,50001273,771,,127.7
107,2010년 11월,2.25,363646.8,351046.3,348931.8,92.068,1.2,3.3,32.1,34.5,1138.82,1731.12,509.94,2433,50475351,793.8,,130.5
108,2010년 12월,2.5,363646.8,351046.3,348931.8,91.613,1.2,3,32.1,34.5,1157.08,1762.18,514.88,2328,50495462,793.8,,138.8
109,2011년 1월,2.5,363646.8,351046.3,348931.8,91.977,0.9,3.5,32.1,34.3,1137.64,1815.75,505.36,1889,50515666,793.8,,144.3
110,2011년 2월,2.75,367040.1,347744.6,348249.7,93.07,0.9,3.8,33.4,34.3,1117.11,1889.7,528.6,2039,50534731,806.4,,138.7
